,username,tweet,time
74,Derek Felder,"RT @IyanlaVanzant: Truth, order, love, faith and patience when used as the foundations of our actions, decisions, and interactions will put…",2018-06-05 19:00:59
75,papatimmy,RT @Rosales_Eliseo: So a bitch found 40$ yesterday RT for goodluck https://t.co/697rwS0kgh,2018-06-05 19:00:57
76,(((Robert Arthur))),RT @owillis: this isnt very difficult: trump and his base dont want black people to speak. period. end. finis.,2018-06-05 19:00:56
77,TMJ-WAS Green Jobs,"Want to work at The Nature Conservancy? We're #hiring in #Bethesda, MD! Click for details: https://t.co/cXS7UMtd8p… https://t.co/fa76EsmFhs",2018-06-05 19:00:56
78,cdnovelist,https://t.co/oslLcxWLcF #MILKMONEY A #sweet #dairyfarm #romance #Kindle #bargainbook #ilovebooks https://t.co/8w5sikbSoA,2018-06-05 19:00:56
79,Allison-Ruth Druhan,"RT @TerpsBaseball: .@Nick_Dunn23 ➡️ STL

@Cardinals, all this dude does is rake

#ProTerps | #MLBDraft https://t.co/h3z2NMk6UK",2018-06-05 19:00:54
80,ASHG,"Tip: Be specific in your abstract submissions, due June 7 @ 8pm Eastern! Make sure to include:
✔️ Purpose
✔️ Method… https://t.co/puY2wqHpGA",2018-06-05 19:00:52
81,Minh Lê,"Couldn’t be more honored that you agreed to make this book together, Dan! 😢❤️⚡️ @dsantat 

and happy book bday,… https://t.co/zyxX7lsPnB",2018-06-05 19:00:52
82,Kimberle Ward,RT @EdWeekTeacher: Enough with the Carrots and Sticks! https://t.co/w4kvTUQ2Xu,2018-06-05 19:00:52
83,CosmicCat,RT @owillis: this isnt very difficult: trump and his base dont want black people to speak. period. end. finis.,2018-06-05 19:00:51
84,mary,"RT @owillis: sarah sanders, every day: im lying, you know im lying, tomorrow ill be lying again. also you and your profession are scum.

ma…",2018-06-05 19:00:51
85,Maryland On BTN,"RT @TerpsBaseball: .@Nick_Dunn23 ➡️ STL

@Cardinals, all this dude does is rake

#ProTerps | #MLBDraft https://t.co/h3z2NMk6UK",2018-06-05 19:00:48
86,Ken Shepherd,"RT @_bryanselby: : ""Our creeds and confessions are not simply boundary markers but also arise out of a desire to praise God."" –Carl Trueman",2018-06-05 19:00:43
87,Peace,@DaT_LiBeRiAn Bet I'ma hit you. Thinking bout making that move,2018-06-05 19:00:43
88,🌴🌊Kaki Miller🌊🌴,RT @owillis: he's angry when blacks say things https://t.co/OuPBbJj9Ya,2018-06-05 19:00:41
89,Julia V Lawson,RT @owillis: this isnt very difficult: trump and his base dont want black people to speak. period. end. finis.,2018-06-05 19:00:40
90,Jarred Belman,"RT @mdbaseballnet: The St. Louis Cardinals selected Maryland's junior second baseman, Nick Dunn, in the fifth round of the MLB Draft. More:…",2018-06-05 19:00:40
91,GuinnessWorldRecords,"RT @4H: Spark up some electricity with the Guinness World Records™ #GWRScience activity DIY Fruit Batteries, now on the #4HSTEMLab! For bon…",2018-06-05 19:00:40
92,North Star Games,"@roguefive81 So I KNOW I am biased, but Happy Salmon, Funky Chicken and Monster Match all work for that, with Happy… https://t.co/gsZeqpp9l6",2018-06-05 19:00:39
93,Jose F Rodriguez,I added a video to a @YouTube playlist https://t.co/GyzlePXWlf Photo Printing Gamut Torture Test!,2018-06-05 19:00:37
94,VOTING archaeologist #FlipMSBlue,RT @owillis: this isnt very difficult: trump and his base dont want black people to speak. period. end. finis.,2018-06-05 19:00:35
95,M,@sturgidson @TheGoldenRatio4 😍😍 thanks,2018-06-05 19:00:34
96,Rabun'sReaders,RT @educationweek: Math is a notorious stumbling block that trips up students seeking college degrees. Retooled courses are trying to chang…,2018-06-05 19:00:32
97,NBC Sports Wizards,Texas A&amp;M draft prospect Robert Williams would help the #Wizards get better defensively. https://t.co/SV1bmK8yu5,2018-06-05 19:00:32
98,Erika Dickstein,https://t.co/tXlnozwbtI Stay on Top of the Little Things #Business #Entrepreneur #Marketing #Biz #SmallBiz,2018-06-05 19:00:29
99,Jojo Victoria,"RT @IyanlaVanzant: Truth, order, love, faith and patience when used as the foundations of our actions, decisions, and interactions will put…",2018-06-05 19:00:26
